"2020-05-25 14:34:59",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000049,"2000|18"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000055,"2000|14"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000062,"2000|16"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000068,"2000|21"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000074,"2000|13"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000103,"2100|1"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000109,"2100|2"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000114,"2100|3"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000120,"2100|4"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000126,"2100|6"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000131,"2100|7"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000137,"2100|10"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000143,"2100|11"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000148,"2100|16"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000154,"2100|18"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000160,"2100|17"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000166,"2100|21"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000172,"2100|24"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000178,"2100|25"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000184,"2100|26"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000190,"2100|29"
"2020-05-25 14:35:06","AIR:401000000","building-cog",401000196,"2100|32|s|3"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000198,"2100|33"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000204,"2100|38"
"2020-05-25 14:35:06","AIR:401000000","building-cog",401000209,"2100|57|c|1"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000211,"2100|39"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000217,"2100|43"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000223,"2100|44"
"2020-05-25 14:35:06","AIR:401000000","building-cog",401000229,"2100|49|c|1"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000231,"2100|60"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000237,"2100|52"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000242,"2100|53"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000247,"2100|55"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000253,"2100|54"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000259,"2100|56"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000265,"2100|59"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000271,"2100|61"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000277,"2100|67"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000283,"2100|63"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000288,"2100|62"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000294,"2100|64"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000300,"2100|66"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000306,"2100|65"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000312,"2100|69"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000318,"2100|70"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000333,"2200|1"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000338,"2200|4"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000343,"2200|5"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000349,"2200|8"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000355,"2200|43"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000360,"2200|44"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000365,"2200|11"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000371,"2200|12"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000377,"2200|13"
"2020-05-25 14:35:06","AIR:401000000","building-cog",401000383,"2200|14|l|2"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000385,"2200|16"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000391,"2200|48"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000396,"2200|17"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000402,"2200|20"
"2020-05-25 14:35:06","AIR:401000000","building-cog",401000408,"2200|39|l|2"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000410,"2200|25"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000415,"2200|27"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000421,"2200|28"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000427,"2200|30"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000433,"2200|29"
"2020-05-25 14:35:06","AIR:401000000","building-toon",401000439,"2200|31"
